symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
RELIANCE,INE002A01018,2026-04-09,NSE,EQ,EQ,buy,false,5.000000,1344.199951,601452894,1300000010602384,2026-04-09T09:37:45
INFY,INE009A01021,2026-04-10,NSE,EQ,EQ,buy,false,3.000000,1293.000000,209238560,1100000087204430,2026-04-10T15:05:44
TCS,INE467B01029,2026-04-10,NSE,EQ,EQ,buy,false,3.000000,2521.699951,608994833,1300000081909921,2026-04-10T15:06:31
GOLDIETF,INF109KC1NT3,2026-04-16,NSE,EQ,EQ,buy,false,10.000000,129.929993,209369004,1100000080697136,2026-04-16T14:01:43
MON100,INF247L01AP3,2026-04-23,NSE,EQ,EQ,buy,false,3.000000,289.799988,401681946,1200000019626596,2026-04-23T10:00:31
INFY,INE009A01021,2026-04-28,NSE,EQ,EQ,sell,false,3.000000,1153.800049,204529807,1100000045593601,2026-04-28T11:29:38
SILVERIETF,INF109KC1Y56,2026-04-28,BSE,EQ,E,buy,false,5.000000,236.289993,2757200,1777354572194534898,2026-04-28T11:39:05
NIFTYIETF,INF109K012R6,2026-04-29,NSE,EQ,EQ,buy,false,3.000000,271.350006,401087930,1200000011586704,2026-04-29T09:41:53
HDFCBANK,INE040A01034,2026-05-12,BSE,EQ,A,buy,false,4.000000,755.799988,11404400,1778571108061278271,2026-05-12T13:23:14
NIFTYIETF,INF109K012R6,2026-05-13,NSE,EQ,EQ,buy,false,5.000000,264.589996,403080623,1200000031429510,2026-05-13T10:36:22
HDFCBANK,INE040A01034,2026-05-13,BSE,EQ,A,buy,false,2.000000,753.000000,5982800,1778648664661018172,2026-05-13T10:36:45
RELIANCE,INE002A01018,2026-05-15,NSE,EQ,EQ,buy,false,2.000000,1336.500000,607196101,1300000075717146,2026-05-15T13:36:24
RELIANCE,INE002A01018,2026-05-29,NSE,EQ,EQ,buy,false,3.000000,1320.300049,610662193,1300000097111222,2026-05-29T15:13:06
HDFCBANK,INE040A01034,2026-05-29,NSE,EQ,EQ,buy,false,5.000000,745.349976,213603201,1100000110248173,2026-05-29T15:13:53
SILVERIETF,INF109KC1Y56,2026-06-10,BSE,EQ,E,buy,false,15.000000,230.630005,8463000,1781080373810428066,2026-06-10T14:24:27
GOLDIETF,INF109KC1NT3,2026-06-10,NSE,EQ,EQ,buy,false,10.000000,125.360001,208016721,1100000078743864,2026-06-10T14:24:46
SILVERIETF,INF109KC1Y56,2026-06-19,BSE,EQ,E,buy,false,10.000000,228.449997,8527600,1781850188935104277,2026-06-19T11:59:23
